 -2.5 -0.5   3785    0   1.942   1.702   0.846   1.746   1.073   0.183   3.900  -1.242
 -2.5 -0.5   3759    0   1.990   1.721   0.865   1.797   1.092   0.188   4.000  -1.313
 -2.5 -0.5   3734    0   2.032   1.737   0.883   1.849   1.108   0.192   4.100  -1.391
 -2.5 -0.5   3709    0   2.071   1.750   0.902   1.903   1.123   0.197   4.200  -1.472
 -2.5 -0.5   3683    0   2.107   1.761   0.920   1.959   1.136   0.201   4.300  -1.553
 -2.5 -0.5   3656    0   2.140   1.770   0.938   2.016   1.148   0.206   4.400  -1.634
 -2.5 -0.5   3631    0   2.166   1.775   0.957   2.073   1.158   0.211   4.500  -1.715
 -2.5 -0.5   3608    0   2.183   1.778   0.976   2.133   1.168   0.215   4.600  -1.796
 -2.5 -0.5   3586    0   2.189   1.778   0.995   2.192   1.177   0.220   4.700  -1.877
 -2.5 -0.5   3565    0   2.179   1.774   1.014   2.253   1.184   0.225   4.800  -1.958
 -2.5 -0.5   3545    0   2.148   1.765   1.035   2.314   1.191   0.230   4.900  -2.039
 -2.5 -0.5   3530    0   2.091   1.752   1.056   2.375   1.197   0.235   5.000  -2.106
 -2.5 -0.5   3459    0   1.917   1.710   1.146   2.630   1.217   0.255   5.400  -2.484
 -2.5 -0.5   3398    0   1.686   1.657   1.249   2.886   1.232   0.276   5.800  -2.848
 -2.5 -0.5   3339    0   1.453   1.609   1.361   3.137   1.245   0.298   6.200  -3.212
 -2.5 -0.5   3279    0   1.253   1.576   1.479   3.380   1.257   0.322   6.600  -3.576
 -2.5 -0.5   3216    0   1.096   1.560   1.601   3.615   1.269   0.347   7.000  -3.944
 -2.5 -0.5   3150    0   0.980   1.559   1.725   3.845   1.280   0.373   7.400  -4.319
 -2.5 -0.5   3079    0   0.899   1.569   1.851   4.069   1.290   0.399   7.800  -4.697
 -2.5 -0.5   3006    0   0.846   1.588   1.980   4.289   1.300   0.426   8.200  -5.076
 -2.5 -0.5   2934    0   0.819   1.614   2.111   4.504   1.311   0.454   8.600  -5.455
 -2.5 -0.5   2867    0   0.815   1.646   2.243   4.715   1.324   0.483   9.000  -5.833
